id,image_title_vernacular,image_title_latin,image_subject,church_or_sanctuary,locality,diocese_latin,diocese_modern,country,first_coronation,coronation_dates,strongest_evidence,popes,legates,confidence,source_count
notre-dame-d-afrique-icosium-algiers,Notre-Dame d'Afrique,"statua Beatae Mariae Virginis, « Afrorum Domina »",Blessed Virgin Mary,"the basilica of Notre-Dame d'Afrique (sanctuarium Mariale Icosii, raised to Basilica Minor by Pius IX in 1876)",Icosium (Algiers),Algeriensis,Algiers,Algeria,1876,1876,retrospective_attestation,Ioannes PP. XXIII,,high,1
nostra-senyora-de-canolich-sant-julia-de-loria,Nostra Senyora de Canòlich,imago beatae Mariae Virginis titulo « Nostra Seynora de Canòlich » invocatae,Blessed Virgin Mary,paroeciale templum (parish church of Sant Julià de Lòria),Sant Julià de Lòria,Urgellensis,Urgell,Andorra,,,papal_coronation_act,Ioannes Paulus PP. II,,high,1
nuestra-senora-del-valle-catamarca,Nuestra Señora del Valle,B. M. V. « del Valle » / Nostra Domina « dei Valle »,Blessed Virgin Mary,Sanctuarium Dominae Nostrae del Valle,Catamarca,Catamarcensis,Catamarca,Argentina,1891,1891,retrospective_attestation,Benedictus PP. XV; Benedictus PP. XVI; Pius PP. XII,,high,3
nuestra-senora-del-milagro-cordoba,Nuestra Señora del Milagro,"vetustissima ac thaumaturga Virginis Deiparae Imago, a Miraculo nuncupata",Blessed Virgin Mary,Ecclesia S. Dominici Confessoris (Ordinis Praedicatorum),Córdoba,Cordubensis,Córdoba,Argentina,1892,1892,retrospective_attestation,Pius PP. X,,high,1
antiquum-simulacrum-sancti-nicolai-barensis-la-r,,Antiquum Simulacrum Sancti Nicolai Barensis,"other (St Nicholas of Bari, Bishop and Confessor)","Sanctuarium S. Nicolai Barensis, ecclesia cathedralis Rioiensis",La Rioja,Rioiensis,La Rioja,Argentina,1920,1920,retrospective_attestation,Pius PP. XII,,high,1
la-pura-y-limpia-concepcion-del-rio-lujan-nuestr,La Pura y Limpia Concepción del Río Luján (Nuestra Señora de Luján),,Blessed Virgin Mary,Santuario de Nuestra Señora de Luján (basilica with two towers),Luján,,,Argentina,1887,1887,retrospective_attestation,Pius PP. XII,,high,1
beatae-mariae-virginis-titulo-montis-carmeli-ima,,Beatae Mariae Virginis titulo Montis Carmeli imago,Blessed Virgin Mary,Ecclesia S. Francisci Assisiensis (Ordinis Fratrum Minorum),Mendoza,Sancti Ioannis de Cuyo,San Juan de Cuyo,Argentina,,,retrospective_attestation,Pius PP. XI,,high,1
nuestra-senora-del-buen-viaje-moron,Nuestra Señora del Buen Viaje,vetusta Imago almae Deiparae a « felici itinere » (Immaculata Conceptio Beatae Mariae Virginis),Blessed Virgin Mary,Cathedralis ecclesia Moronensis (Immaculatae Conceptioni B. M. V. « del Buen Viaje » sacra),Morón,Moronensis,Morón,Argentina,,,retrospective_attestation,Ioannes PP. XXIII,,medium,1
nuestra-senora-del-rosario-rosario,Nuestra Señora del Rosario,imago Beatae Mariae Virginis a Sacratissimo Rosario,Blessed Virgin Mary,prima paroecia / ecclesia paroecialis B. Mariae V. a Ssmo Rosario (the 1731 parish church of Rosario),Rosario,Rosariensis,Rosario,Argentina,1941,1941,retrospective_attestation,Paulus PP. VI; Pius PP. XII,,medium,2
signum-virginis-immaculatae-linz-lincia,,Signum Virginis Immaculatae,Blessed Virgin Mary,Sacellum novi templi cathedralis Linciensis (chapel of the new cathedral of Linz),Linz (Lincia),Linciensis,Linz,Austria,1902,1902,retrospective_attestation,Pius PP. XI,Andreas Card. Fruehwirth,medium,1
